TSDate,Month,Year,serieNames,sales
21-01-1900,6,2013,serie_1,1248
21-01-1900,6,2013,serie_2,695
22-01-1900,6,2013,serie_2,5
22-01-1900,6,2013,serie_1,0
23-01-1900,6,2013,serie_1,0
23-01-1900,6,2013,serie_2,5
24-01-1900,6,2013,serie_1,3393
24-01-1900,6,2013,serie_2,1775
25-01-1900,6,2013,serie_2,888
25-01-1900,6,2013,serie_1,1767
26-01-1900,6,2013,serie_1,1663
26-01-1900,6,2013,serie_2,879
27-01-1900,6,2013,serie_2,880
27-01-1900,6,2013,serie_1,1611
28-01-1900,6,2013,serie_1,1113
28-01-1900,6,2013,serie_2,602
29-01-1900,6,2013,serie_2,5
29-01-1900,6,2013,serie_1,0
30-01-1900,6,2013,serie_2,5
30-01-1900,6,2013,serie_1,0
01-01-1900,7,2013,serie_1,3220
01-01-1900,7,2013,serie_2,1630
02-01-1900,7,2013,serie_1,1947
02-01-1900,7,2013,serie_2,1051
03-01-1900,7,2013,serie_2,902
03-01-1900,7,2013,serie_1,1769
04-01-1900,7,2013,serie_1,1721
04-01-1900,7,2013,serie_2,872
05-01-1900,7,2013,serie_1,1107
05-01-1900,7,2013,serie_2,602
06-01-1900,7,2013,serie_1,0
06-01-1900,7,2013,serie_2,5
07-01-1900,7,2013,serie_1,0
07-01-1900,7,2013,serie_2,5
08-01-1900,7,2013,serie_2,1410
08-01-1900,7,2013,serie_1,2821
09-01-1900,7,2013,serie_1,1621
09-01-1900,7,2013,serie_2,827
10-01-1900,7,2013,serie_2,859
10-01-1900,7,2013,serie_1,1673
11-01-1900,7,2013,serie_1,1640
11-01-1900,7,2013,serie_2,820
12-01-1900,7,2013,serie_2,588
12-01-1900,7,2013,serie_1,1102
13-01-1900,7,2013,serie_2,5
13-01-1900,7,2013,serie_1,0
14-01-1900,7,2013,serie_1,0
14-01-1900,7,2013,serie_2,5
15-01-1900,7,2013,serie_2,1467
15-01-1900,7,2013,serie_1,2891
16-01-1900,7,2013,serie_2,776
16-01-1900,7,2013,serie_1,1610
17-01-1900,7,2013,serie_1,1537
17-01-1900,7,2013,serie_2,780
18-01-1900,7,2013,serie_1,1487
18-01-1900,7,2013,serie_2,695
19-01-1900,7,2013,serie_2,508
19-01-1900,7,2013,serie_1,1001
20-01-1900,7,2013,serie_1,0
20-01-1900,7,2013,serie_2,5
21-01-1900,7,2013,serie_1,0
21-01-1900,7,2013,serie_2,5
22-01-1900,7,2013,serie_1,2673
22-01-1900,7,2013,serie_2,1265
23-01-1900,7,2013,serie_2,712
23-01-1900,7,2013,serie_1,1504
24-01-1900,7,2013,serie_1,1600
